dept_no,emp_no,from_date,to_date
d001,110022,1985/1/1,1991/10/1
d001,110039,1991/10/1,9999/1/1
d002,110085,1985/1/1,1989/12/17
d002,110114,1989/12/17,9999/1/1
d003,110183,1985/1/1,1992/3/21
d003,110228,1992/3/21,9999/1/1
d004,110303,1985/1/1,1988/9/9
d004,110344,1988/9/9,1992/8/2
d004,110386,1992/8/2,1996/8/30
d004,110420,1996/8/30,9999/1/1
d005,110511,1985/1/1,1992/4/25
d005,110567,1992/4/25,9999/1/1
d006,110725,1985/1/1,1989/5/6
d006,110765,1989/5/6,1991/9/12
d006,110800,1991/9/12,1994/6/28
d006,110854,1994/6/28,9999/1/1
d007,111035,1985/1/1,1991/3/7
d007,111133,1991/3/7,9999/1/1
d008,111400,1985/1/1,1991/4/8
d008,111534,1991/4/8,9999/1/1
d009,111692,1985/1/1,1988/10/17
d009,111784,1988/10/17,1992/9/8
d009,111877,1992/9/8,1996/1/3
d009,111939,1996/1/3,9999/1/1
